Year,Age,mx
1939,94,0.28213
1939,95,0.34749
1939,96,0.36661
1939,97,0.38616
1939,98,0.40609
1939,99,0.42633
1939,100,0.44681
1939,101,0.46748
1939,102,0.48826
1939,103,0.50909
1939,104,0.52988
1939,105,0.55057
1939,106,0.57108
1939,107,0.59135
1939,108,0.61132
1939,109,0.63092
1939,110+,0.6501
1940,0,0.06035
1940,1,0.00613
1940,2,0.00292
1940,3,0.00193
1940,4,0.0016
1940,5,0.00142
1940,6,0.00134
1940,7,0.00121
1940,8,0.00112
1940,9,0.00106
1940,10,0.00102
1940,11,0.00103
1940,12,0.00109
1940,13,0.00119
1940,14,0.00135
1940,15,0.00155
1940,16,0.00173
1940,17,0.00191
1940,18,0.00209
1940,19,0.00228
1940,20,0.00246
1940,21,0.00262
1940,22,0.00275
1940,23,0.00285
1940,24,0.00291
1940,25,0.00294
1940,26,0.00298
1940,27,0.00305
1940,28,0.00314
1940,29,0.00325
1940,30,0.00339
1940,31,0.00355
1940,32,0.00372
1940,33,0.0039
1940,34,0.00409
1940,35,0.00429
1940,36,0.00454
1940,37,0.00482
1940,38,0.00515
1940,39,0.00553
1940,40,0.00595
1940,41,0.00642
1940,42,0.00693
1940,43,0.00747
1940,44,0.00803
1940,45,0.00864
1940,46,0.00931
1940,47,0.01005
1940,48,0.0109
1940,49,0.01186
1940,50,0.01296
1940,51,0.01404
1940,52,0.01514
1940,53,0.01632
1940,54,0.01758
1940,55,0.01893
1940,56,0.0204
1940,57,0.02197
1940,58,0.02359
1940,59,0.02525
1940,60,0.02689
1940,61,0.02884
1940,62,0.03104
1940,63,0.03346
1940,64,0.03612
1940,65,0.03904
1940,66,0.04207
1940,67,0.04534
1940,68,0.04901
1940,69,0.05318
1940,70,0.05816
1940,71,0.06326
1940,72,0.06859
1940,73,0.07429
1940,74,0.08041
1940,75,0.08772
1940,76,0.09552
1940,77,0.1041
1940,78,0.11392
1940,79,0.12559
1940,80,0.12989
1940,81,0.143
1940,82,0.15713
1940,83,0.17191
1940,84,0.18661
1940,85,0.20021
1940,86,0.21477
1940,87,0.23068
1940,88,0.24712
1940,89,0.26295
1940,90,0.27943
1940,91,0.29505
1940,92,0.30832
1940,93,0.3186
1940,94,0.32595
1940,95,0.36935
1940,96,0.39012
1940,97,0.41128
1940,98,0.43279
1940,99,0.45454
1940,100,0.47648
1940,101,0.4985
1940,102,0.52053
1940,103,0.54248
1940,104,0.56427
1940,105,0.58581
1940,106,0.60702
1940,107,0.62785
1940,108,0.6482
1940,109,0.66804
1940,110+,0.68729
1941,0,0.05839
1941,1,0.00583
1941,2,0.00282
1941,3,0.00189
1941,4,0.00151
1941,5,0.00131
1941,6,0.00123
1941,7,0.00118
1941,8,0.00109
1941,9,0.00104
1941,10,0.00098
1941,11,0.00098
1941,12,0.00104
1941,13,0.00116
1941,14,0.00133
1941,15,0.00156
1941,16,0.00176
1941,17,0.00195
1941,18,0.00215
1941,19,0.00233
1941,20,0.0025
1941,21,0.00266
1941,22,0.00279
1941,23,0.00289
1941,24,0.00294
1941,25,0.00294
1941,26,0.00296
1941,27,0.003
1941,28,0.00306
1941,29,0.00316
1941,30,0.0033
1941,31,0.00345
1941,32,0.00362
1941,33,0.00381
1941,34,0.00401
1941,35,0.00422
1941,36,0.00446
1941,37,0.00474
1941,38,0.00506
1941,39,0.00542
1941,40,0.00582
1941,41,0.00627
1941,42,0.00678
1941,43,0.00734
1941,44,0.00795
1941,45,0.00858
1941,46,0.00925
1941,47,0.00996
1941,48,0.01073
1941,49,0.01159
1941,50,0.01264
1941,51,0.01371
1941,52,0.01475
1941,53,0.01586
1941,54,0.01708
1941,55,0.01847
1941,56,0.01995
1941,57,0.02156
1941,58,0.02324
1941,59,0.02493
1941,60,0.02633
1941,61,0.02803
1941,62,0.0301
1941,63,0.03246
1941,64,0.0351
1941,65,0.03799
1941,66,0.04096
1941,67,0.04405
1941,68,0.04741
1941,69,0.05122
1941,70,0.05621
1941,71,0.06142
1941,72,0.06651
1941,73,0.07158
1941,74,0.07668
1941,75,0.08229
1941,76,0.08939
1941,77,0.09823
1941,78,0.10838
1941,79,0.12062
1941,80,0.12499
1941,81,0.13774
1941,82,0.15236
1941,83,0.16735
1941,84,0.18152
1941,85,0.19406
1941,86,0.20764
1941,87,0.2233
1941,88,0.24004
1941,89,0.25646
1941,90,0.27052
1941,91,0.28048
1941,92,0.28723
1941,93,0.29079
1941,94,0.29556
1941,95,0.35256
1941,96,0.3723
1941,97,0.39248
1941,98,0.41303
1941,99,0.43389
1941,100,0.45499
1941,101,0.47625
1941,102,0.49759
1941,103,0.51894
1941,104,0.54023
1941,105,0.56137
1941,106,0.58229
1941,107,0.60292
1941,108,0.62318
1941,109,0.64303
1941,110+,0.66239
1942,0,0.05389
1942,1,0.0048
1942,2,0.00241
1942,3,0.00182
1942,4,0.00144
1942,5,0.00126
1942,6,0.00116
1942,7,0.00109
1942,8,0.00106
1942,9,0.00099
1942,10,0.00093
1942,11,0.00093
1942,12,0.00099
1942,13,0.00108
1942,14,0.00122
1942,15,0.00142
1942,16,0.00161
1942,17,0.0018
1942,18,0.00208
1942,19,0.00233
1942,20,0.00255
1942,21,0.00274
1942,22,0.00289
1942,23,0.00297
1942,24,0.00299
1942,25,0.00293
1942,26,0.00288
1942,27,0.00288
1942,28,0.00292
1942,29,0.00302
1942,30,0.00318
1942,31,0.00336
1942,32,0.00356
1942,33,0.00377
1942,34,0.00399
1942,35,0.0042
1942,36,0.00443
1942,37,0.0047
1942,38,0.00499
1942,39,0.00531
1942,40,0.00567
1942,41,0.00607
1942,42,0.00655
1942,43,0.00711
1942,44,0.00773
1942,45,0.00838
1942,46,0.00908
1942,47,0.00981
1942,48,0.0106
1942,49,0.01146
1942,50,0.01254
1942,51,0.01369
1942,52,0.01482
1942,53,0.01593
1942,54,0.01709
1942,55,0.01844
